year     lat	lon	  trop	         Effor	          SST 
2000	-37.5	37.5	3.485527925	303050	19.33472222
2000	-37.5	42.5	10.02937674	3861346	19.10911111
2000	-37.5	47.5	2.36575291	391852	18.77622222
2000	-37.5	52.5	8.673286278	317095	18.33122222
2000	-37.5	82.5	2.498347029	1107412	15.54483333
2000	-37.5	87.5	0.629128657	307110	15.35172222
2000	-32.5	32.5	14.88398368	5543241	21.9195
2000	-32.5	37.5	11.47264531	8712053	21.70403333
2000	-32.5	42.5	16.82476213	3816441	21.22773333
2000	-32.5	47.5	11.56933017	3024608	20.71026667
2000	-32.5	52.5	11.07885825	378214	20.3046
2000	-32.5	57.5	2.15780543	1895550	19.7588
2000	-32.5	62.5	2.288229562	3308200	19.2823
2000	-32.5	67.5	3.744644893	3821968	18.90036667
2000	-32.5	72.5	2.884530436	4509038	18.48923333
2000	-32.5	77.5	3.853649217	3472081	18.19996667
2000	-32.5	82.5	6.589193679	9276328	18.01123333
2000	-32.5	87.5	4.63908893	3008360	17.79243333
2000	-32.5	92.5	1.153643515	2506820	17.63443333
2000	-32.5	97.5	3.337623487	1808593	17.55416667
2000	-27.5	37.5	17.26611194	12432406	24.26486667
2000	-27.5	42.5	31.7004186	8758135.09	24.09423333
2000	-27.5	47.5	18.71454378	3596172.09	23.67016667
2000	-27.5	52.5	4.907439749	2047062	23.1081
2000	-27.5	57.5	0.363872645	790300	22.64963333
2000	-27.5	62.5	6.052490627	642369	22.16483333
2000	-27.5	67.5	1.35678392	421087	21.7669
2000	-27.5	72.5	3.114813473	648905	21.3968
2000	-27.5	77.5	5.91006155	864122	21.26433333
2000	-27.5	82.5	12.25398798	2063886	21.11186667
2000	-27.5	87.5	5.523255814	2782766	20.90533333
2000	-27.5	92.5	11.50497512	3662042	20.7009
2000	-22.5	47.5	7.886091187	5081104.13	25.49262821
2000	-22.5	52.5	8.44868662	6240244.33	25.0635
2000	-22.5	57.5	9.594331833	2493533.34	24.59863333
2000	-22.5	62.5	13.09062129	591956	24.18016667
2000	-22.5	67.5	5.717463849	416404	23.93423333
2000	-22.5	72.5	8.33603984	421205	23.59706667
2000	-22.5	102.5	34.83351628	462895	22.93703333
2000	-17.5	52.5	10.90792995	3307536.15	26.03097826
2000	-17.5	57.5	33.01483565	2991863.2	25.80663333
2000	-17.5	62.5	11.38253431	1174392	25.69036667
2000	-17.5	67.5	12.00894784	1487294	25.5685
2000	-17.5	72.5	14.15047334	858703	25.34123333
2000	-17.5	77.5	17.08273894	184481	25.17503333
2000	-17.5	82.5	100	473572	25.19573333
2000	-17.5	87.5	20.9917132	1605120	25.17973333
2000	-17.5	92.5	15.63388289	911411	25.16086667
2000	-12.5	52.5	24.00120428	2071448.13	26.69083333
2000	-12.5	57.5	33.38174884	1526236.86	26.74023333
2000	-12.5	62.5	20.4643236	3457031	26.8489
2000	-12.5	67.5	23.70583776	4669688	26.81956667
2000	-12.5	72.5	23.3606186	3878001	26.69143333
2000	-12.5	77.5	16.46427805	3410806	26.70163333
2000	-12.5	82.5	17.10859774	2704309	26.8274
2000	-12.5	87.5	18.14123377	2410554	26.897
2000	-12.5	92.5	26.30385488	1288655	27.09106667
2000	-7.5	47.5	18.4577081	1798276.15	27.33716667
2000	-7.5	52.5	29.07307522	2422442.38	27.441
2000	-7.5	57.5	27.84065041	2153780	27.6058
2000	-7.5	62.5	17.47262568	5467789	27.89346667
2000	-7.5	67.5	21.62013595	4596892	27.99053333
2000	-7.5	72.5	28.20227739	4160786	28.05126667
2000	-7.5	77.5	22.26698899	4085758	28.12633333
2000	-7.5	82.5	15.91906813	4414996	28.1927
2000	-7.5	87.5	16.80977949	4019697	28.2171
2000	-7.5	92.5	26.51804048	881637	28.32516667
2000	-7.5	97.5	26.47058824	402538	28.27516667
2000	-2.5	52.5	33.05925463	2942304.15	28.05
2000	-2.5	57.5	31.66876452	4164787.29	28.33706667
2000	-2.5	62.5	21.87613708	14038927	28.68426667
2000	-2.5	67.5	19.47229203	10378950	28.75853333
2000	-2.5	72.5	31.16812493	3353109	28.85713333
2000	-2.5	77.5	22.89132101	5769161	28.9242
2000	-2.5	82.5	18.72934221	4398277	28.93736667
2000	-2.5	87.5	27.87730429	4375613	28.9335
2000	-2.5	92.5	14.78039714	891133	28.94543333
2000	2.5	52.5	43.6445053	3807147.7	27.8557
2000	2.5	57.5	34.01563625	8198322.54	28.50883333
2000	2.5	62.5	22.95437597	20357276	29.01353333
2000	2.5	67.5	26.99644251	14318303	29.12273333
2000	2.5	72.5	30.95710786	4811056	29.12363333
2000	2.5	77.5	19.65748768	6794830	29.07836667
2000	2.5	82.5	43.60492798	12279319	28.99206667
2000	2.5	87.5	40.71694401	6530530	29.014
2000	2.5	92.5	15.80558745	345196	29.0888
2000	7.5	57.5	30.24490692	6008387	27.9281
2000	7.5	62.5	22.17348251	8084852	28.6364
2000	7.5	67.5	15.8883498	8128072	28.96
2000	7.5	72.5	16.75916538	1537067	28.9585
2000	7.5	82.5	25.04378284	53430	28.65466667
2000	7.5	87.5	55.53430607	6059739	28.75313333
2000	7.5	92.5	67.40906547	144262	28.81266667
2000	12.5	82.5	95.46481601	828259	28.6659375
2000	12.5	87.5	88.11216359	4300866	28.60741667
