"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1"
-1.97423917147553 -1.60192618416999 4.39083789672337 -1.98480951846503 -0.660863192571905 2.70365898080788 -1.97423917147553 -1.60192618416999 4.39083789672337 -1.95632158671478 -1.64129343887262 4.26778911553953 -1.97423917147553 -1.60192618416999 4.39083789672337 -1.95827098414145 -1.63823033733681 4.2792763192705
-1.7214560276252 -2.1883845142944 4.62641684954953 -1.76823368049354 -1.05121033448077 2.65174307077465 -1.7214560276252 -2.1883845142944 4.62641684954953 -1.72856348092576 -2.19017020976599 4.66333225816339 -1.7214560276252 -2.1883845142944 4.62641684954953 -1.73100432842301 -2.18872015151066 4.6869791251349
-1.75361641835722 -2.05248306302435 4.49086649803334 -1.78042544727655 -0.944239389887427 2.58364132068759 -1.75361641835722 -2.05248306302435 4.49086649803334 -1.76513391244727 -2.00969087996431 4.45379325739 -1.75361641835722 -2.05248306302435 4.49086649803334 -1.76537651142004 -2.00034910411131 4.43259691744168
-1.79722349852338 -1.89782665456923 4.57760727689103 -1.86440297343745 -0.735323514270886 2.6863432624331 -1.79722349852338 -1.89782665456923 4.57760727689103 -1.82133412374935 -1.74758768933267 4.5801104779562 -1.79722349852338 -1.89782665456923 4.57760727689103 -1.82004550618266 -1.75123260008584 4.60510819749805
-1.81080015173887 -1.91146859947733 4.50644507171779 -1.81502738231983 -0.919052549280136 2.61950979649794 -1.81080015173887 -1.91146859947733 4.50644507171779 -1.79082652319095 -1.99385565305818 4.53235930325192 -1.81080015173887 -1.91146859947733 4.50644507171779 -1.79214525182402 -1.98426062646258 4.51354502207171
-1.70590041125391 -2.3001312974425 4.35543437115479 -1.73240160428152 -1.21744918172951 2.63909581797786 -1.70590041125391 -2.3001312974425 4.35543437115479 -1.70133943457576 -2.25740614171599 4.24196383412183 -1.70590041125391 -2.3001312974425 4.35543437115479 -1.70190951563868 -2.25766617615488 4.2579488878683
-1.68300446816206 -2.39823864103584 4.291268990174 -1.73952698925372 -1.25206871333733 2.63580523356884 -1.68300446816206 -2.39823864103584 4.291268990174 -1.68151080562888 -2.39718948394172 4.17575924710534 -1.68300446816206 -2.39823864103584 4.291268990174 -1.68546323798632 -2.39073924741741 4.193914855158
-1.82046290136439 -2.01825495809022 4.54078777662211 -1.87175322533999 -0.99470240518549 2.81110422728483 -1.82046290136439 -2.01825495809022 4.54078777662211 -1.81757292226091 -1.98867829567105 4.38953107315221 -1.82046290136439 -2.01825495809022 4.54078777662211 -1.81938065905492 -1.98373057709452 4.39974637552388
-1.90611842973044 -1.86928335491347 4.53941711337736 -1.90825263203733 -0.754769556667939 2.52353681302247 -1.90611842973044 -1.86928335491347 4.53941711337736 -1.86401002503349 -1.96817675337742 4.49489439144718 -1.90611842973044 -1.86928335491347 4.53941711337736 -1.86227642777464 -1.97018085879423 4.51669879159131
-1.575570792829 -2.22899199807848 4.33360348196033 -1.59263175146193 -1.17975219111147 2.47482965323834 -1.575570792829 -2.22899199807848 4.33360348196033 -1.54925863051935 -2.34188969725878 4.26757508991433 -1.575570792829 -2.22899199807848 4.33360348196033 -1.55182149121983 -2.31666732108084 4.22659414911398
